timestamp,bolt1_x,bolt2_x,bolt3_x,bolt1_y,bolt2_y,bolt3_y
2024-09-23 14:52:46,1672.4376862681834,1897.0492329078115,1816.0672267142231,-773.9771147042434,-559.3194466030142,-1040.2707072318376
2024-09-23 14:52:46,1672.4057149483574,1897.0167271877917,1816.036072695624,-774.0148232897208,-559.4216670266809,-1040.2688321603212
2024-09-23 14:52:46,1672.418117792119,1896.9704998196987,1816.0278015537783,-773.9964436449736,-559.3555206702471,-1040.265181509535
2024-09-23 14:52:46,1672.4353360669359,1897.0317427195198,1816.030871981144,-773.9884082175962,-559.3951141270561,-1040.2752759437565
2024-09-23 14:52:47,1672.4372862270113,1897.00006995327,1816.0335735848319,-773.9984718223758,-559.4104754072436,-1040.2453412227583
2024-09-23 14:52:47,1672.4167029726514,1897.0420639406032,1816.0159499888114,-773.9702281130543,-559.4443917963971,-1040.2530327293587
2024-09-23 14:52:47,1672.418463014953,1897.0497067656197,1816.0211478889182,-773.981582280761,-559.4271343925718,-1040.245978291498
2024-09-23 14:52:47,1672.3566484294674,1897.0468509058642,1816.0070273031956,-774.2420451631182,-559.4617372347501,-1040.2449511945038
2024-09-23 14:52:47,1672.415469456669,1897.0992452962544,1816.0136029617045,-774.0030550510592,-559.399377843923,-1040.2764784696024
2024-09-23 14:52:47,1672.372028593744,1897.0356929766847,1816.0066751904174,-774.2365310534656,-559.4287157045602,-1040.2617126108491
2024-09-23 14:52:47,1672.4284110942788,1896.9916006403196,1815.9853461715197,-773.9932743338119,-559.3197338009322,-1040.245309443277
2024-09-23 14:52:47,1672.3246806760994,1897.0193765268941,1816.0017220139835,-774.2307846123938,-559.3942220176875,-1040.2619741510114
2024-09-23 14:52:47,1672.4193123086766,1897.0995199525253,1815.9863927043705,-774.0053906854041,-559.357497513822,-1040.2530431220532
2024-09-23 14:52:47,1672.350327520924,1897.0541436665726,1816.0040782782169,-774.250078413334,-559.4451368118333,-1040.2940592921373
2024-09-23 14:52:47,1672.3922750138215,1897.0135109251967,1815.9893140133888,-773.9807537869572,-559.4122974575665,-1040.2374749108603
2024-09-23 14:52:47,1672.4314526313456,1897.0370530704165,1815.9816755292968,-773.9875652705139,-559.4343855438584,-1040.2510538370082
2024-09-23 14:52:47,1672.352411531625,1897.0599472060564,1815.9796956677667,-774.2473569723849,-559.3462936936508,-1040.2588583713145
2024-09-23 14:52:47,1672.2986046535505,1897.0186985044227,1815.9675945183985,-773.8300824178692,-559.3984305911712,-1040.2533966156777
2024-09-23 14:52:48,1672.444296584589,1897.0321779570215,1815.9796516017527,-774.0014277486209,-559.3718924170804,-1040.2719931144889
