Objects
100
,,Global Angle SB-8427:SB-8427,,,,,,Global Angle SB-CE32:SB-CE32,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
23,0,0.000477,0.037940,1.698682,69.819252,1053.695801,165.075714,-0.030843,-0.006861,1.610986,-603.861877,1563.415771,161.142197,0.002717,-0.017002,1.532676,-491.183380,244.332382,139.222473,0.020059,-0.081787,1.527644,64.541145,204.028412,144.519012
24,0,0.000190,0.037840,1.698758,69.808479,1053.691284,165.061432,-0.027125,-0.006593,1.608966,-604.270081,1567.180908,161.165771,0.002609,-0.016924,1.532697,-491.198547,244.328522,139.219299,0.019927,-0.081860,1.527625,64.539673,204.029510,144.511017
25,0,0.000549,0.037927,1.698745,69.814285,1053.702148,165.073441,-0.027737,-0.006287,1.607369,-604.617249,1570.977905,160.943542,0.002558,-0.016917,1.532706,-491.193726,244.339371,139.233765,0.020038,-0.081993,1.527611,64.541351,204.040909,144.532471
26,0,0.000276,0.037739,1.698622,69.819923,1053.691650,165.076019,-0.022535,-0.001823,1.603153,-605.369324,1574.585693,161.292282,0.002552,-0.017055,1.532655,-491.192200,244.326874,139.235992,0.020214,-0.082018,1.527578,64.544891,204.024719,144.540344
27,0,0.000218,0.037546,1.698615,69.811913,1053.687622,165.063110,-0.022056,-0.005372,1.595156,-606.379211,1578.130981,161.258621,0.002629,-0.016974,1.532669,-491.200775,244.322113,139.222946,0.019970,-0.081872,1.527646,64.537224,204.029205,144.519318
28,0,0.000050,0.037255,1.698735,69.811737,1053.696655,165.054916,-0.022826,-0.009153,1.585078,-607.460449,1581.431396,160.940018,0.002586,-0.016980,1.532685,-491.195404,244.333405,139.219574,0.019730,-0.081772,1.527591,64.545380,204.035172,144.504990
29,0,-0.000134,0.037149,1.698691,69.818039,1053.689453,165.068649,-0.023256,-0.012916,1.577635,-608.392334,1584.691895,161.144180,0.002491,-0.016983,1.532645,-491.193573,244.325989,139.238815,0.019995,-0.081786,1.527660,64.545044,204.024185,144.533264
30,0,-0.000002,0.037392,1.698706,69.808563,1053.690918,165.066238,-0.021178,-0.012096,1.572741,-609.168579,1588.198364,161.139389,0.002595,-0.016994,1.532654,-491.200470,244.325546,139.231003,0.019958,-0.081814,1.527553,64.541862,204.022888,144.525970
31,0,0.000450,0.037761,1.698584,69.804268,1053.699097,165.063614,-0.017020,-0.013963,1.570229,-609.715271,1591.984253,161.050858,0.002582,-0.016932,1.532684,-491.204010,244.334793,139.220108,0.019816,-0.081793,1.527573,64.535034,204.034439,144.509109
32,0,0.000320,0.037853,1.698524,69.816856,1053.699829,165.070801,-0.020523,-0.006442,1.570260,-610.029541,1596.542358,161.155853,0.002544,-0.016969,1.532673,-491.196625,244.333633,139.231140,0.019936,-0.081723,1.527608,64.548790,204.039902,144.522476
