Objects
100
,,Global Angle SB-8427:SB-8427,,,,,,Global Angle SB-CE32:SB-CE32,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
23,0,0.032515,0.005278,-0.419692,-443.969513,433.909882,159.576157,-0.019942,-0.012837,1.095006,132.697357,594.499023,165.327576,0.001765,-0.016201,1.503035,-573.261108,-316.951538,136.445450,-0.033357,-0.032987,1.573490,95.386505,429.779053,141.671448
24,0,0.031854,-0.000732,-0.423133,-441.470398,431.288635,159.477844,-0.018066,-0.015280,1.096332,132.482849,598.394043,165.461227,0.001793,-0.016120,1.502984,-573.258667,-316.954987,136.445679,-0.032109,-0.038909,1.573703,95.346870,433.696960,141.727264
25,0,0.035650,-0.002248,-0.426600,-438.779449,428.155579,159.285294,-0.014282,-0.019914,1.096472,132.385574,602.049622,165.658646,0.001786,-0.016134,1.503018,-573.263916,-316.959076,136.439850,-0.029604,-0.042986,1.574113,95.354515,437.734863,141.619186
26,0,0.037234,0.001379,-0.432409,-435.628174,424.654663,159.530151,-0.012744,-0.020668,1.098543,132.319534,605.977722,165.562820,0.001771,-0.016058,1.503051,-573.263000,-316.953613,136.442963,-0.029233,-0.043517,1.574416,95.440117,441.982910,141.365982
27,0,0.036182,0.003890,-0.439833,-432.352325,421.242432,159.463699,-0.016381,-0.019685,1.101413,132.156998,610.594788,165.325104,0.001746,-0.016119,1.502999,-573.259766,-316.952850,136.448410,-0.029086,-0.037708,1.573947,95.717102,446.369537,141.023529
28,0,0.036166,0.004151,-0.447447,-429.280518,418.023102,159.675858,-0.022136,-0.015458,1.104846,132.123322,615.409546,165.322235,0.001860,-0.016126,1.502994,-573.256165,-316.959045,136.451065,-0.031632,-0.032831,1.573543,95.754623,450.612701,141.038681
29,0,0.037144,0.001550,-0.454559,-426.339142,415.034241,159.747330,-0.018866,-0.017340,1.106279,132.349869,619.450745,165.664902,0.001769,-0.016081,1.503017,-573.260193,-316.957703,136.452423,-0.030637,-0.032180,1.573552,95.842140,454.896637,141.252899
30,0,0.036558,0.002163,-0.462411,-423.367035,412.105835,159.439056,-0.016351,-0.017122,1.105324,132.601151,623.664856,165.566055,0.001814,-0.016059,1.503010,-573.264160,-316.960602,136.446396,-0.029524,-0.035107,1.574065,95.836411,459.149048,141.543930
31,0,0.038028,0.003066,-0.471773,-420.339630,409.462860,159.764587,-0.019507,-0.012198,1.108341,132.847275,628.211426,165.438721,0.001849,-0.016159,1.503010,-573.258972,-316.953583,136.445343,-0.030687,-0.038236,1.574327,95.920609,463.347870,141.729721
32,0,0.037585,0.002808,-0.482313,-417.320862,406.968445,159.746124,-0.018105,-0.013364,1.108014,132.965500,632.331421,165.656662,0.001898,-0.016164,1.503043,-573.251404,-316.942688,136.452469,-0.032703,-0.038281,1.574838,96.088417,467.441040,141.686752
33,0,0.036973,0.003825,-0.493213,-414.354797,404.620483,159.721619,-0.014990,-0.015595,1.106904,133.018570,636.268982,165.711212,0.001758,-0.016144,1.503011,-573.254578,-316.952240,136.452637,-0.030311,-0.034672,1.574440,96.268646,471.626801,141.306976
34,0,0.034036,-0.000912,-0.507196,-411.310181,402.425903,159.659409,-0.016085,-0.015301,1.108571,133.033081,640.537292,165.486191,0.001833,-0.016232,1.503062,-573.265320,-316.960266,136.440399,-0.027361,-0.034051,1.574561,96.307510,475.851654,141.082077
35,0,0.030398,-0.002110,-0.521613,-408.239441,400.273315,159.749939,-0.025081,-0.013957,1.110968,132.624680,645.487366,165.364151,0.001746,-0.016168,1.502995,-573.265015,-316.956055,136.441528,-0.024696,-0.036350,1.574008,96.305786,480.010468,140.978195
36,0,0.031692,-0.005663,-0.536199,-404.843018,397.668335,159.793320,-0.026063,-0.013465,1.114692,132.577698,649.864807,165.664429,0.001816,-0.016152,1.503033,-573.262817,-316.956177,136.438324,-0.024111,-0.039759,1.573742,96.316116,484.042877,141.079178
37,0,0.032196,-0.001921,-0.550988,-401.105316,394.530243,159.707611,-0.025563,-0.015304,1.115466,132.556931,653.853638,165.771057,0.001820,-0.016200,1.503007,-573.260010,-316.952240,136.437302,-0.026597,-0.043525,1.573242,96.277710,488.169525,141.294220
38,0,0.037145,0.004813,-0.563870,-397.499054,391.212524,159.799973,-0.025283,-0.013404,1.117575,132.624603,658.051453,165.515366,0.001798,-0.016037,1.503049,-573.260864,-316.948425,136.450363,-0.029296,-0.042655,1.573887,96.367249,492.541656,141.322037
39,0,0.040340,0.008912,-0.576387,-394.252136,388.403748,160.319031,-0.025343,-0.011283,1.120107,132.698486,662.313782,165.470901,0.001792,-0.016110,1.502990,-573.258240,-316.952850,136.448502,-0.034373,-0.038438,1.574001,96.390327,496.809723,141.266602
40,0,0.037929,0.010497,-0.589302,-391.120605,385.636383,160.286469,-0.023327,-0.014233,1.115386,132.764008,666.407104,165.567093,0.001763,-0.016020,1.503068,-573.261292,-316.955048,136.437668,-0.035245,-0.035022,1.574572,96.612053,500.867126,141.190216
41,0,0.034456,0.008858,-0.600710,-388.376587,383.191620,160.311859,-0.024274,-0.011265,1.115090,132.982544,670.734497,165.517914,0.001763,-0.016017,1.502976,-573.258850,-316.954651,136.444275,-0.027829,-0.033493,1.576251,96.785484,504.930145,141.130157
42,0,0.031216,-0.000199,-0.610202,-385.840515,380.939728,160.094742,-0.025524,-0.001827,1.113916,132.947037,675.091003,165.491119,0.001799,-0.016019,1.503062,-573.259155,-316.953857,136.447159,-0.019901,-0.038222,1.576908,96.810028,508.902740,141.299545
43,0,0.030567,-0.007994,-0.618830,-383.236359,378.469696,159.803421,-0.026184,-0.010570,1.111912,132.890076,679.072937,165.472672,0.001739,-0.016171,1.503028,-573.260681,-316.953491,136.450394,-0.017139,-0.042946,1.576748,96.794891,513.012024,141.305862
44,0,0.039084,-0.007356,-0.626960,-379.669342,374.966431,160.111359,-0.024713,-0.013278,1.116078,132.610870,682.900452,165.558044,0.001764,-0.015962,1.503103,-573.260193,-316.950653,136.450516,-0.022401,-0.042897,1.575891,96.753731,517.159180,141.164246
45,0,0.044912,-0.004844,-0.638158,-375.842560,371.660950,160.182770,-0.022064,-0.017550,1.120696,132.381668,687.143799,165.559433,0.001773,-0.016056,1.503024,-573.255737,-316.958008,136.443924,-0.034094,-0.040395,1.575118,96.822594,521.261597,141.038635
46,0,0.041690,0.000234,-0.654097,-371.906281,368.900726,160.226776,-0.028785,-0.012539,1.115893,132.636856,691.442810,165.427460,0.001780,-0.016176,1.503014,-573.258606,-316.958832,136.440140,-0.035839,-0.036877,1.575139,96.907913,525.306519,140.930939
47,0,0.035401,0.004946,-0.671111,-368.189301,366.492310,160.308044,-0.027609,-0.010163,1.115665,132.961472,695.623901,165.482910,0.001847,-0.016162,1.503020,-573.254395,-316.946014,136.449448,-0.030652,-0.039289,1.576244,97.020943,529.356445,141.173706
48,0,0.030317,0.006546,-0.688220,-364.826996,364.437958,160.410797,-0.025840,-0.007825,1.115186,133.215530,699.612488,165.439697,0.001745,-0.016198,1.503043,-573.260925,-316.949554,136.450516,-0.019465,-0.042133,1.577772,97.054352,533.363342,141.471558
49,0,0.033605,0.003529,-0.700825,-361.785126,362.254669,160.220749,-0.024281,-0.007603,1.115091,133.452606,703.446045,165.499023,0.001780,-0.016120,1.503042,-573.256042,-316.950653,136.437759,-0.013930,-0.041739,1.577639,97.056511,537.370239,141.635483
50,0,0.037967,0.000010,-0.710190,-359.275452,360.073425,160.308243,-0.023489,-0.008754,1.115838,133.506851,707.323486,165.555222,0.001726,-0.016065,1.502977,-573.249695,-316.947906,136.445572,-0.018837,-0.037699,1.576077,97.094009,541.358521,141.529724
51,0,0.039267,-0.010144,-0.721743,-356.813416,358.139709,160.288162,-0.023798,-0.010574,1.117827,133.414047,711.241638,165.475891,0.001722,-0.016099,1.502993,-573.250122,-316.945862,136.450165,-0.029453,-0.034831,1.574515,97.116219,545.420288,141.137634
52,0,0.036013,-0.014441,-0.738577,-353.702209,356.411469,160.265549,-0.024932,-0.014434,1.114662,133.259323,715.088135,165.360443,0.001801,-0.016073,1.502996,-573.256348,-316.952606,136.451630,-0.037293,-0.037732,1.574229,97.096924,549.516602,140.916779
53,0,0.032370,-0.009995,-0.757811,-349.866760,354.574188,160.267181,-0.023976,-0.012131,1.115474,133.475815,719.133118,165.290237,0.001802,-0.016111,1.503030,-573.259705,-316.957855,136.455505,-0.034614,-0.043607,1.575094,97.148331,553.476135,141.016525
54,0,0.036411,-0.009603,-0.777951,-345.796661,352.721558,160.371368,-0.021509,-0.008010,1.114189,134.043915,723.128723,165.435349,0.001859,-0.016185,1.503039,-573.263306,-316.957458,136.446472,-0.022051,-0.046046,1.575843,97.209335,557.304749,141.263245
55,0,0.032626,-0.000707,-0.795382,-341.891998,350.975037,160.565933,-0.020066,-0.007795,1.110901,134.416870,726.986816,165.530960,0.001733,-0.016068,1.503007,-573.255859,-316.955811,136.446106,-0.015344,-0.044907,1.576176,97.248421,561.213745,141.541901
56,0,0.034736,-0.001607,-0.812637,-338.238312,349.329590,160.450745,-0.020261,-0.006433,1.112740,134.441513,730.888245,165.455719,0.001716,-0.016072,1.503041,-573.254333,-316.953583,136.454407,-0.017430,-0.038639,1.575645,97.255005,565.335388,141.502502
57,0,0.035079,-0.004671,-0.829191,-334.927246,347.780792,160.346512,-0.019351,-0.012507,1.112756,134.052673,734.641724,165.578598,0.001732,-0.016176,1.503040,-573.263916,-316.960693,136.452240,-0.028778,-0.033568,1.573617,97.107674,569.526367,141.311630
58,0,0.037413,-0.009993,-0.843174,-331.869049,346.358490,160.420868,-0.019606,-0.016078,1.111620,133.748154,738.507202,165.547531,0.001678,-0.016131,1.503010,-573.264526,-316.958771,136.448822,-0.039232,-0.035258,1.573190,97.124374,573.607056,141.243011
59,0,0.028651,-0.012476,-0.863832,-328.207489,344.833771,160.410431,-0.020786,-0.016864,1.111618,133.562073,742.682129,165.398712,0.001829,-0.016088,1.503032,-573.250061,-316.951508,136.453308,-0.035917,-0.039953,1.574655,97.217918,577.626770,141.222839
60,0,0.037043,-0.009859,-0.872809,-324.539612,342.626190,160.545532,-0.027767,-0.013820,1.113662,133.515610,747.426392,165.175735,0.001727,-0.016163,1.502992,-573.257080,-316.955872,136.449020,-0.028220,-0.046053,1.576020,97.279442,581.649719,141.448700
61,0,0.045954,0.001311,-0.884700,-320.307556,340.178375,160.163162,-0.027931,-0.007334,1.113962,133.462494,751.679810,165.392395,0.001733,-0.016216,1.503050,-573.262329,-316.956085,136.452713,-0.022343,-0.046147,1.575898,97.271309,585.745117,141.636398
62,0,0.050667,0.001265,-0.899038,-316.642120,338.189148,160.430313,-0.024549,-0.012995,1.117101,133.723282,755.437378,165.464005,0.001843,-0.016102,1.502999,-573.261536,-316.955078,136.455551,-0.021790,-0.038330,1.574945,97.389938,589.857422,141.613312
63,0,0.053574,0.000389,-0.914666,-313.023468,336.444946,160.337173,-0.024190,-0.012238,1.118510,133.850815,759.420532,165.425446,0.001706,-0.016041,1.502995,-573.262329,-316.957458,136.451553,-0.028821,-0.032246,1.574411,97.515343,593.989685,141.622803
64,0,0.050572,0.000364,-0.933637,-309.213959,335.218842,160.223129,-0.025890,-0.011544,1.116068,133.974365,763.518372,165.247223,0.001743,-0.016114,1.503035,-573.259460,-316.958496,136.446426,-0.033540,-0.030849,1.574181,97.580605,598.119568,141.667389
65,0,0.044911,-0.000523,-0.954755,-305.451721,334.594360,160.444229,-0.025312,-0.013949,1.112963,133.987244,767.510864,165.204742,0.001741,-0.016098,1.503010,-573.261230,-316.959656,136.451019,-0.033072,-0.034564,1.574305,97.550522,602.256042,141.774155
66,0,0.041056,-0.003803,-0.975289,-301.867065,334.034698,160.333862,-0.025031,-0.014729,1.111895,134.018280,771.496338,165.214157,0.001833,-0.016160,1.502993,-573.265015,-316.959076,136.446716,-0.030513,-0.039725,1.574757,97.546463,606.269409,141.827255
67,0,0.042468,-0.005882,-0.991740,-298.748322,333.238922,160.380005,-0.024551,-0.009386,1.107667,133.938950,775.635559,165.332855,0.001677,-0.016184,1.503043,-573.261780,-316.953064,136.444672,-0.027453,-0.040684,1.574656,97.548912,610.291077,141.661057
68,0,0.049018,-0.012366,-1.006166,-295.728729,332.355408,160.149307,-0.027927,-0.014355,1.109416,134.091766,779.862488,165.146210,0.001664,-0.016113,1.503023,-573.264648,-316.954163,136.443604,-0.027478,-0.039113,1.574429,97.552826,614.425781,141.453552
69,0,0.045291,-0.011448,-1.022941,-291.778229,331.520996,160.288895,-0.026532,-0.014706,1.110554,134.111771,783.808716,165.121887,0.001833,-0.016118,1.503005,-573.259949,-316.953705,136.436859,-0.030478,-0.036478,1.573478,97.545708,618.624573,141.323242
70,0,0.042980,-0.007001,-1.036899,-287.456390,330.261597,160.428009,-0.021574,-0.016967,1.110844,134.229568,787.469971,165.295486,0.001843,-0.016105,1.503027,-573.258118,-316.951935,136.446594,-0.033572,-0.035729,1.573720,97.592560,622.809082,141.431824
71,0,0.046925,-0.003475,-1.045306,-283.357391,328.632416,160.469299,-0.020444,-0.012420,1.112316,134.652023,791.745483,165.356628,0.001827,-0.016134,1.502987,-573.253540,-316.952698,136.451569,-0.035961,-0.036868,1.574138,97.632729,626.917480,141.737152
72,0,0.053929,-0.001855,-1.050943,-279.532562,327.002777,160.530304,-0.024685,-0.007087,1.109325,134.974609,796.480774,165.257965,0.001909,-0.016049,1.503056,-573.253784,-316.951416,136.438675,-0.033191,-0.037500,1.574390,97.752869,630.962341,141.943375
73,0,0.047429,-0.001002,-1.067959,-275.391876,325.883118,160.939209,-0.026294,-0.007294,1.109266,134.978806,800.792725,165.344009,0.001908,-0.016154,1.503006,-573.250427,-316.946350,136.444901,-0.031048,-0.037404,1.574013,97.778732,635.045593,141.956757
74,0,0.042208,-0.001136,-1.081491,-271.348511,324.864227,160.920609,-0.026072,-0.008592,1.111467,134.899567,804.637817,165.487701,0.001778,-0.016198,1.502996,-573.250916,-316.951324,136.448410,-0.030543,-0.036004,1.573691,97.863739,639.212646,141.726685
75,0,0.042940,-0.002342,-1.092791,-267.556152,323.675476,160.655533,-0.021362,-0.012454,1.111074,134.941101,808.318237,165.664749,0.001840,-0.016200,1.502982,-573.256348,-316.955597,136.452026,-0.030482,-0.035038,1.573108,97.925514,643.344727,141.486115
76,0,0.049028,-0.003739,-1.100153,-264.447906,322.315552,160.869278,-0.019219,-0.014605,1.108598,135.123047,812.250916,165.565277,0.001775,-0.016119,1.503010,-573.253662,-316.954468,136.453094,-0.031445,-0.036883,1.572989,97.969963,647.483521,141.459610
77,0,0.054994,-0.006034,-1.108507,-261.388855,321.057800,160.627426,-0.021319,-0.012987,1.108503,135.283188,816.602417,165.191147,0.001717,-0.016142,1.502988,-573.254456,-316.959717,136.450027,-0.031139,-0.040232,1.572984,97.932861,651.656250,141.568878
78,0,0.054610,-0.010112,-1.120002,-257.745636,320.624268,160.764938,-0.023581,-0.011309,1.110301,135.238983,821.114868,165.130051,0.001749,-0.016208,1.502978,-573.251770,-316.959625,136.443848,-0.032457,-0.042243,1.573009,97.985535,655.852356,141.673141
79,0,0.043369,-0.011922,-1.141085,-253.602829,320.436462,160.760864,-0.022755,-0.012123,1.111690,135.291351,825.258911,165.393372,0.001740,-0.016173,1.503026,-573.251587,-316.956696,136.455521,-0.035283,-0.042063,1.572392,98.040733,660.026978,141.730591
80,0,0.042279,-0.009016,-1.154029,-249.647079,319.807983,160.905548,-0.024212,-0.011774,1.109197,135.441864,829.565308,165.346786,0.001815,-0.016067,1.502997,-573.253174,-316.958618,136.452103,-0.036405,-0.038420,1.572277,98.182716,664.303223,141.649567
81,0,0.042166,-0.006845,-1.165144,-245.365921,318.794220,160.943283,-0.024404,-0.008738,1.111413,135.664993,833.876343,165.132202,0.001645,-0.016063,1.502966,-573.253723,-316.964233,136.438095,-0.033036,-0.035740,1.572391,98.289497,668.582886,141.570129
82,0,0.042553,-0.003326,-1.174023,-241.227371,317.375946,161.115189,-0.021393,-0.008963,1.110261,135.870621,837.810242,165.098618,0.001794,-0.016127,1.503041,-573.253662,-316.955811,136.450516,-0.030086,-0.035346,1.573665,98.361786,672.839111,141.635651
83,0,0.043598,-0.001947,-1.180400,-237.274933,315.889954,160.997818,-0.018075,-0.010491,1.106025,136.040527,841.776550,165.137100,0.001890,-0.016221,1.502973,-573.247925,-316.951355,136.444687,-0.028916,-0.035232,1.574120,98.487144,677.024902,141.594254
84,0,0.048839,-0.001916,-1.182959,-233.893402,314.564026,161.211151,-0.022172,-0.013474,1.102165,135.713898,846.224121,165.106949,0.001763,-0.016104,1.503035,-573.257080,-316.959991,136.448120,-0.032551,-0.036814,1.573776,98.597160,681.169800,141.626205
85,0,0.045229,-0.005482,-1.193243,-230.629684,313.394531,161.381485,-0.029496,-0.015510,1.100771,135.034821,850.989807,165.289520,0.001796,-0.016198,1.503025,-573.256714,-316.956451,136.457596,-0.036129,-0.040200,1.573531,98.608109,685.237976,141.530197
86,0,0.045501,-0.009402,-1.198358,-227.528503,312.086914,160.948486,-0.031085,-0.016905,1.104329,134.754929,855.122192,165.227158,0.001837,-0.016148,1.503040,-573.253601,-316.953888,136.442535,-0.032093,-0.040575,1.573431,98.694046,689.477600,141.396469
87,0,0.049806,-0.014076,-1.202013,-224.569992,310.638367,160.920410,-0.026714,-0.015769,1.104699,135.158524,858.961975,165.212280,0.001748,-0.016155,1.503043,-573.251648,-316.952576,136.441162,-0.030168,-0.040847,1.573306,98.742905,693.689392,141.371750
88,0,0.053140,-0.015013,-1.204917,-221.325699,309.074280,161.060608,-0.021757,-0.014186,1.102164,135.818985,862.942261,165.280212,0.001763,-0.016069,1.503052,-573.251404,-316.950592,136.453903,-0.028700,-0.038713,1.572748,98.836220,697.876160,141.337372
89,0,0.053217,-0.013238,-1.209635,-217.271271,307.555878,161.113235,-0.018474,-0.008592,1.100586,136.554291,867.218140,165.164871,0.001771,-0.016110,1.503009,-573.257751,-316.957184,136.460983,-0.028917,-0.036068,1.573527,98.984383,702.191406,141.423447
90,0,0.048406,-0.009389,-1.216193,-213.038742,306.126892,161.023727,-0.019856,-0.002235,1.098063,137.070328,871.865662,164.996826,0.001858,-0.016072,1.503033,-573.258911,-316.964020,136.450775,-0.033920,-0.038007,1.574583,98.985069,706.455933,141.565445
91,0,0.051914,-0.009329,-1.218089,-209.160782,304.928558,161.330200,-0.020819,-0.004566,1.093090,136.952393,876.286133,165.086243,0.001752,-0.016185,1.503050,-573.249329,-316.957977,136.446335,-0.033109,-0.038530,1.574364,99.058243,710.685974,141.645905
92,0,0.050269,-0.010024,-1.228237,-205.243408,303.816406,161.210724,-0.022035,-0.007544,1.092366,136.518082,880.540161,165.071411,0.001880,-0.016108,1.503039,-573.252991,-316.958344,136.447464,-0.032401,-0.037944,1.575180,99.199501,715.030701,141.641190
93,0,0.050297,-0.012705,-1.234901,-201.456985,302.755493,161.192520,-0.023856,-0.011694,1.091055,135.969803,884.660095,165.002350,0.001782,-0.016231,1.503008,-573.256531,-316.954590,136.453186,-0.032768,-0.036102,1.576339,99.356171,719.354431,141.421188
94,0,0.054914,-0.013373,-1.235480,-197.734146,301.668091,161.390579,-0.023699,-0.014227,1.090990,135.784088,888.731995,165.125931,0.001780,-0.016153,1.503044,-573.256653,-316.946838,136.458069,-0.033920,-0.033056,1.575541,99.476524,723.519836,141.123062
95,0,0.047926,-0.012262,-1.246488,-193.809845,300.714142,161.167755,-0.024017,-0.011929,1.093439,135.874161,893.060608,165.227112,0.001847,-0.016150,1.502999,-573.253113,-316.958191,136.443527,-0.033335,-0.033959,1.575527,99.497879,727.609314,141.094040
96,0,0.048744,-0.010818,-1.251579,-190.183029,299.648468,161.310425,-0.024718,-0.009410,1.094235,135.980606,897.411194,165.036575,0.001838,-0.016105,1.503043,-573.251953,-316.959473,136.441864,-0.028352,-0.038015,1.576483,99.434959,731.665833,141.308731
97,0,0.045206,-0.010580,-1.254706,-186.907227,298.508636,161.718094,-0.023831,-0.010776,1.093907,135.961258,901.313660,165.051956,0.001901,-0.016017,1.502979,-573.251831,-316.953796,136.449829,-0.024538,-0.041561,1.577271,99.438194,735.729797,141.534317
98,0,0.044990,-0.014840,-1.256983,-183.707474,297.262543,161.444611,-0.019489,-0.011608,1.097092,136.005112,904.941284,165.089523,0.001706,-0.016146,1.502971,-573.259094,-316.953796,136.448471,-0.028825,-0.040906,1.577167,99.528824,739.819519,141.578842
99,0,0.052522,-0.014421,-1.253159,-180.393631,295.445312,161.361832,-0.016854,-0.013184,1.097800,136.116531,908.604492,165.217728,0.001875,-0.016078,1.503063,-573.261658,-316.961639,136.455521,-0.036012,-0.036175,1.576170,99.717216,743.898254,141.394760
100,0,0.057161,-0.010510,-1.250993,-176.510254,293.372803,161.476349,-0.017287,-0.012121,1.095263,136.415588,912.760254,165.232513,0.001787,-0.016097,1.502987,-573.252747,-316.952301,136.464188,-0.038617,-0.032032,1.575648,99.829193,747.935120,141.238708
101,0,0.054246,-0.007120,-1.250982,-172.149933,291.539520,161.507721,-0.020108,-0.007424,1.094444,136.709610,917.168701,165.005249,0.001854,-0.016092,1.503000,-573.251343,-316.957275,136.450409,-0.030284,-0.032355,1.576036,99.838890,752.014526,141.229370
