Objects
100
,,Global Angle SB-8427:SB-8427,,,,,,Global Angle SB-CE32:SB-CE32,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.050867,-0.014840,-1.385678,810.593750,-53.262592,173.222549,-0.020314,-0.014075,1.133309,697.080383,-391.269348,171.272949,-0.002326,-0.021909,1.532339,736.933838,-286.666473,150.059143,0.002798,-0.085386,1.043779,474.866760,427.109406,147.743561
2,0,0.049417,-0.019015,-1.382792,811.933533,-53.614609,173.182495,-0.014643,-0.019158,1.137441,696.938538,-391.185211,171.430908,-0.002304,-0.020497,1.530843,736.844421,-286.664429,150.101395,0.002611,-0.091494,1.042750,476.865479,430.520355,147.817261
3,0,0.046829,-0.023412,-1.378866,812.928345,-54.017780,173.182632,-0.014722,-0.019486,1.137346,696.937256,-391.181610,171.426498,-0.002297,-0.020571,1.530899,736.840149,-286.665131,150.103577,0.001901,-0.090206,1.039982,478.916382,433.966492,147.908905
4,0,0.044882,-0.024909,-1.372584,814.010559,-54.875973,173.167892,-0.015179,-0.019615,1.137372,696.929932,-391.170441,171.436768,-0.002173,-0.020482,1.530853,736.836487,-286.667023,150.105286,0.000130,-0.077698,1.032218,480.842865,437.398376,147.859863
5,0,0.046879,-0.018462,-1.364242,815.351440,-56.651855,173.172318,-0.014800,-0.019474,1.137325,696.946289,-391.173218,171.430908,-0.002235,-0.020559,1.530893,736.840881,-286.665192,150.104858,0.001322,-0.071493,1.020014,482.334442,440.632324,148.192230
6,0,0.052186,-0.014251,-1.353940,816.359680,-58.557461,173.410065,-0.020267,-0.014281,1.133138,697.086914,-391.274048,171.282837,-0.002542,-0.022108,1.532456,736.936401,-286.671417,150.062164,0.000082,-0.067475,1.004289,483.506653,443.747314,148.254089
7,0,0.055092,-0.010600,-1.343996,816.925171,-60.335331,173.581146,-0.021274,-0.013761,1.132644,697.091431,-391.277008,171.283112,-0.002473,-0.023164,1.532760,736.937622,-286.697662,150.037582,-0.034054,-0.031489,0.987073,484.911621,446.857117,146.833801
8,0,0.059489,-0.012493,-1.333834,817.342590,-61.856674,173.336258,-0.020536,-0.013715,1.132808,697.100647,-391.284241,171.276413,-0.002865,-0.023222,1.532427,736.906677,-286.672821,150.044373,-0.035404,-0.039418,0.969900,485.815735,449.787140,146.620529
9,0,0.058885,-0.017428,-1.325334,817.486206,-62.865273,173.272064,-0.020944,-0.013867,1.133201,697.076416,-391.282196,171.271332,-0.002363,-0.020605,1.530868,736.841370,-286.663269,150.106598,-0.038504,-0.042473,0.951708,486.658417,452.775208,146.220795
10,0,0.055233,-0.022844,-1.319289,817.692322,-63.617290,173.083908,-0.021094,-0.013833,1.132598,697.092468,-391.268799,171.273407,-0.002561,-0.023268,1.532848,736.940247,-286.700073,150.033066,-0.037564,-0.039846,0.931638,487.700348,455.758972,145.725723
