Objects
100
,,Global Angle SB-8427:SB-8427,,,,,,Global Angle SB-CE32:SB-CE32,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.064266,-0.021205,-1.554686,-482.152588,634.371582,161.348526,-0.002468,-0.007365,-1.668419,131.692978,-200.551590,167.603516,-0.003823,-0.010901,1.474724,151.324493,-357.384827,145.814651,0.034241,-0.106375,1.579911,-525.715088,-231.312027,139.398087
2,0,0.064465,-0.021082,-1.554531,-482.152496,634.376953,161.357162,-0.002508,-0.007488,-1.668208,131.699402,-200.544327,167.601273,-0.002984,-0.025116,1.477092,151.464066,-357.037292,145.683624,0.034198,-0.106400,1.579874,-525.705688,-231.302094,139.396774
3,0,0.064241,-0.021075,-1.554733,-482.159882,634.371521,161.344696,-0.002200,-0.007359,-1.668165,131.691498,-200.560120,167.582428,-0.002989,-0.025179,1.477144,151.444229,-357.051086,145.664429,0.034395,-0.106444,1.579845,-525.719360,-231.303284,139.384750
4,0,0.064388,-0.021077,-1.554567,-482.159882,634.372925,161.347473,-0.002506,-0.007742,-1.668245,131.687561,-200.567902,167.589188,-0.002984,-0.025029,1.477093,151.453812,-357.054413,145.659927,0.034359,-0.106483,1.579832,-525.711792,-231.308044,139.390121
5,0,0.064414,-0.021526,-1.554635,-482.146973,634.366638,161.358231,-0.002263,-0.007701,-1.668217,131.695190,-200.566818,167.600983,-0.002736,-0.025061,1.477114,151.457367,-357.060913,145.683640,0.034300,-0.106565,1.579786,-525.708374,-231.314926,139.402924
6,0,0.064687,-0.021532,-1.554634,-482.145660,634.370239,161.354813,-0.002086,-0.007113,-1.668215,131.695892,-200.566101,167.601532,-0.002913,-0.025063,1.477054,151.460938,-357.056915,145.676880,0.034206,-0.106517,1.579888,-525.709900,-231.312851,139.392807
7,0,0.064415,-0.020970,-1.554688,-482.155121,634.373474,161.339600,-0.002314,-0.007218,-1.668251,131.685165,-200.560883,167.589935,-0.003032,-0.025042,1.477118,151.451157,-357.049042,145.667114,0.034279,-0.106420,1.579803,-525.720032,-231.309891,139.380920
8,0,0.064129,-0.020994,-1.554662,-482.153839,634.371033,161.364761,-0.002294,-0.007629,-1.668021,131.693100,-200.553009,167.589249,-0.003030,-0.025152,1.477132,151.451569,-357.048767,145.686142,0.034430,-0.106526,1.579807,-525.718811,-231.310852,139.405884
9,0,0.064622,-0.021649,-1.554419,-482.148132,634.371582,161.375916,-0.002526,-0.007646,-1.668193,131.689377,-200.553146,167.611984,-0.002839,-0.025140,1.477145,151.453247,-357.046265,145.694931,0.034416,-0.106404,1.579947,-525.713257,-231.313370,139.411850
