Objects
100
,,Global Angle SB-41E0:SB-41E0,,,,,,Global Angle SB-C299:SB-C299,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.033376,-0.002351,1.938493,-803.118896,-549.899780,161.168671,0.043459,0.025967,-1.804725,296.070892,-588.640381,164.239746,-0.004870,0.002333,-1.504626,-254.657776,-951.937012,139.098541,0.018979,-0.003632,-1.595065,229.160431,-312.910889,143.175827
2,0,-0.031745,-0.005536,1.939545,-803.415161,-546.292603,161.017776,0.036033,0.021774,-1.808208,296.464966,-591.650146,163.914474,-0.006958,0.002935,-1.479394,-254.931870,-956.152222,139.153748,0.014252,0.004384,-1.592711,228.898209,-317.044342,142.989746
3,0,-0.029631,-0.006754,1.942475,-803.602478,-542.686768,160.865646,0.024639,0.020163,-1.814949,297.229523,-594.746033,163.720474,-0.005452,0.002263,-1.452074,-255.230133,-960.525940,139.007050,0.013656,0.004175,-1.591421,228.567673,-321.058594,142.744385
4,0,-0.026996,-0.008077,1.946035,-803.748291,-538.942200,160.913605,0.022445,0.024207,-1.815430,297.789886,-598.328369,164.130920,-0.005209,0.002995,-1.422412,-255.342606,-964.906494,139.036682,0.015831,-0.004032,-1.591740,228.303391,-325.069153,142.602768
5,0,-0.028353,-0.007072,1.948252,-804.139893,-534.853271,160.957733,0.015171,0.020661,-1.819054,298.507874,-601.878296,163.870987,-0.005703,0.005368,-1.391119,-255.482727,-969.371887,139.182327,0.015665,-0.007988,-1.592786,228.229080,-329.222504,142.779938
6,0,-0.032327,-0.004544,1.948228,-804.827942,-530.511902,160.996429,0.019668,0.022941,-1.814930,298.643829,-605.517883,163.977982,-0.001948,0.003749,-1.357823,-255.635681,-973.787109,139.120270,0.014702,-0.004317,-1.593738,228.184937,-333.462280,143.061127
7,0,-0.036035,-0.006272,1.948031,-805.634949,-526.116394,160.993378,0.021937,0.025938,-1.805833,298.343414,-609.058777,164.102325,-0.007610,0.004608,-1.324433,-255.689148,-978.132874,139.132797,0.008192,-0.008137,-1.598414,228.002441,-337.420776,143.496994
8,0,-0.035828,-0.006154,1.948769,-806.257874,-521.850586,161.074432,0.025277,0.024482,-1.793774,297.805145,-612.511658,163.847122,-0.003219,0.002113,-1.289929,-255.797501,-982.622253,138.968124,0.010666,-0.001808,-1.597722,227.704651,-341.710266,143.485977
9,0,-0.041073,0.009566,1.947589,-806.781616,-517.518250,161.256653,0.027714,0.014204,-1.778640,296.866821,-615.843018,163.786484,-0.003716,0.003451,-1.254622,-255.619370,-987.175537,138.954300,0.012641,-0.000963,-1.596461,227.445099,-345.898712,143.354233
