Objects
100
,,Global Angle SB-41E0:SB-41E0,,,,,,Global Angle SB-C299:SB-C299,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.030545,-0.001961,1.593896,-970.831421,-941.164001,159.985840,0.010564,0.002429,-1.074141,580.055420,959.649536,171.574753,0.001176,0.007335,-2.043730,183.074387,-1101.249512,138.972565,-0.009790,-0.011554,-1.637931,1140.977051,136.008347,147.622101
2,0,-0.032845,0.004566,1.582216,-969.735474,-940.212708,160.013565,0.008485,0.002135,-1.073527,579.654724,957.894958,171.554337,0.000361,0.006476,-2.084093,183.308716,-1105.400024,138.891602,-0.008052,-0.012672,-1.637217,1140.644165,131.747787,147.574631
3,0,-0.030674,0.012506,1.574923,-968.017639,-939.377563,160.202698,0.008462,0.001072,-1.071207,579.210083,956.218750,171.508896,0.004275,0.005106,-2.124893,183.452942,-1109.543335,138.941818,-0.008013,-0.009798,-1.637672,1140.450684,127.443848,147.781128
4,0,-0.028697,0.016696,1.569309,-966.581726,-938.676453,160.421295,0.004785,-0.002847,-1.069821,578.827698,954.535339,171.407471,0.001104,0.007956,-2.167851,183.743591,-1113.751221,138.827332,-0.006288,-0.004096,-1.637714,1140.022461,123.167511,148.110626
5,0,-0.027432,0.019327,1.566142,-965.384460,-938.210632,160.453506,0.003065,-0.004340,-1.071051,578.432678,952.602234,171.421539,-0.002118,0.008112,-2.211941,183.912933,-1118.019531,138.632019,-0.002696,-0.003120,-1.637303,1139.576294,118.935013,148.219833
6,0,-0.026938,0.017650,1.563026,-964.505371,-937.881714,160.330994,0.001963,-0.002786,-1.074939,578.144531,950.210510,171.410568,0.000925,0.010412,-2.256500,183.838470,-1122.360962,138.731354,-0.000512,-0.008481,-1.636449,1139.105347,114.809570,148.170334
7,0,-0.018454,0.008393,1.557384,-964.022827,-937.463135,160.380707,0.005025,-0.001048,-1.080436,577.981262,947.508728,171.427200,0.004313,0.009017,-2.302306,183.598389,-1126.663330,138.844177,-0.001088,-0.016851,-1.636112,1138.691284,110.761627,147.904541
8,0,-0.020826,0.003089,1.554818,-963.756409,-937.303223,160.259033,0.009280,0.003715,-1.084941,577.721802,944.660950,171.422470,0.002018,0.010581,-2.349198,183.585632,-1131.032349,138.753357,-0.004975,-0.018691,-1.636697,1138.454102,106.770912,147.633026
9,0,-0.031787,0.002103,1.553788,-963.434265,-937.446167,160.092789,0.012668,0.006171,-1.087023,577.245056,941.916931,171.589798,-0.000120,0.016195,-2.397440,183.448212,-1135.531982,138.574509,-0.011832,-0.010703,-1.638243,1138.211548,102.824760,147.619110
10,0,-0.028315,0.000165,1.549009,-962.749329,-937.343994,160.059219,0.018609,0.005552,-1.085540,576.600464,939.323059,171.771957,0.005537,0.013974,-2.445371,182.984146,-1139.899780,138.600357,-0.013860,-0.005278,-1.638685,1137.958374,98.766319,147.616959
