Objects
100
,,Global Angle SB-8427:SB-8427,,,,,,Global Angle SB-CE32:SB-CE32,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.042403,-0.007183,-1.897814,593.216492,1202.605103,172.070633,0.014965,0.013661,-1.757764,-276.096313,797.878906,161.675446,-0.001269,-0.022869,1.398230,492.985291,-173.637711,147.144272,0.026252,-0.080099,1.566328,-221.646225,-208.908478,139.557892
2,0,0.042372,-0.006912,-1.898156,593.229248,1202.608032,172.070435,0.011115,0.006348,-1.763726,-276.453339,794.200989,161.001358,-0.001360,-0.023046,1.398218,492.994904,-173.644836,147.136795,0.026403,-0.080068,1.566355,-221.632553,-208.904373,139.555359
3,0,0.042085,-0.006907,-1.897960,593.230286,1202.599121,172.051315,0.009204,-0.003997,-1.765451,-277.200836,791.010071,161.069427,-0.001308,-0.022986,1.398214,492.988373,-173.653519,147.118317,0.026298,-0.080008,1.566326,-221.636307,-208.914398,139.529739
4,0,0.042555,-0.007112,-1.898001,593.232239,1202.602661,172.058868,0.001190,-0.009133,-1.768946,-277.822083,787.777283,161.049225,-0.001414,-0.023018,1.398227,492.975220,-173.658127,147.126007,0.026577,-0.080231,1.566349,-221.640427,-208.915787,139.547470
5,0,0.042478,-0.007288,-1.897859,593.215820,1202.593750,172.080124,-0.005054,-0.009849,-1.775461,-278.184235,783.978088,161.054733,-0.001380,-0.023038,1.398223,492.965942,-173.658600,147.159637,0.026458,-0.080244,1.566225,-221.639343,-208.917953,139.578827
6,0,0.042014,-0.007262,-1.897919,593.211060,1202.594604,172.082474,-0.003185,-0.006351,-1.780503,-278.539520,779.283813,161.288910,-0.001172,-0.022958,1.398220,492.957428,-173.645905,147.149750,0.026269,-0.080064,1.566267,-221.653625,-208.908127,139.565308
7,0,0.042447,-0.007112,-1.897896,593.219910,1202.590820,172.058334,0.006847,-0.001958,-1.783587,-279.146301,774.401489,161.090012,-0.001325,-0.022975,1.398162,492.971039,-173.660660,147.128998,0.026249,-0.080112,1.566203,-221.640808,-208.922241,139.542404
8,0,0.041606,-0.007141,-1.897890,593.231018,1202.599365,172.087753,0.017660,0.004800,-1.786227,-279.720734,769.666321,161.162323,-0.001385,-0.022874,1.398257,492.987610,-173.650269,147.140579,0.026359,-0.079994,1.566316,-221.626587,-208.913315,139.554306
9,0,0.042232,-0.007196,-1.898067,593.225342,1202.591675,172.094437,0.022166,0.010960,-1.790356,-280.061493,765.308044,161.614761,-0.001458,-0.023020,1.398191,492.965485,-173.653122,147.161591,0.026474,-0.080101,1.566221,-221.636292,-208.911819,139.576126
10,0,0.042323,-0.007211,-1.897533,593.214661,1202.586914,172.065903,0.022726,0.012218,-1.795191,-280.350952,761.091919,161.556732,-0.001362,-0.022927,1.398211,492.961273,-173.665222,147.135635,0.026397,-0.080172,1.566238,-221.646591,-208.929474,139.549652
11,0,0.042367,-0.007209,-1.897933,593.224365,1202.594971,172.095490,0.019580,0.008042,-1.799105,-280.683411,757.415833,161.606140,-0.001436,-0.022927,1.398220,492.968079,-173.656372,147.152771,0.026284,-0.079998,1.566266,-221.636765,-208.922958,139.566101
12,0,0.042604,-0.007370,-1.898094,593.235107,1202.596680,172.080154,0.014951,0.000921,-1.803147,-280.959778,753.868835,161.234528,-0.001175,-0.022872,1.398127,492.985443,-173.655701,147.142120,0.026494,-0.080213,1.566248,-221.628296,-208.920837,139.567200
13,0,0.043230,-0.008311,-1.898167,593.232544,1202.609985,172.075073,0.006067,-0.007894,-1.809001,-281.106934,750.626953,161.075195,-0.001346,-0.022871,1.398200,492.985413,-173.638611,147.126633,0.026328,-0.079968,1.566351,-221.628204,-208.908005,139.529999
14,0,0.042829,-0.007357,-1.898000,593.234558,1202.615112,172.089127,-0.003003,-0.004770,-1.818107,-280.832458,746.685059,161.214249,-0.001387,-0.022998,1.398209,492.971802,-173.639923,147.145569,0.026421,-0.079868,1.566279,-221.634735,-208.909180,139.551147
15,0,0.043118,-0.007337,-1.897840,593.237549,1202.610474,172.098846,-0.002491,0.004013,-1.826051,-280.685425,742.101807,161.256638,-0.001429,-0.023030,1.398232,492.975159,-173.653641,147.154480,0.026114,-0.080020,1.566299,-221.629150,-208.915741,139.554321
16,0,0.042936,-0.007329,-1.897814,593.236816,1202.608521,172.076569,0.007549,0.006415,-1.827927,-281.144104,737.509521,161.498291,-0.001393,-0.022920,1.398237,492.984985,-173.652695,147.130051,0.026527,-0.080029,1.566276,-221.625702,-208.923813,139.539856
