Objects
100
,,Global Angle SB-8427:SB-8427,,,,,,Global Angle SB-CE32:SB-CE32,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.034217,0.160442,2.776864,-313.332611,-620.360718,162.404633,-0.044801,3.160743,0.078554,-2221.122070,-647.384094,147.538559,0.004807,0.003132,3.049829,-321.230652,873.865417,140.343964,0.006605,-0.051304,2.813419,-610.582336,-875.984985,137.624756
2,0,-0.031856,0.162095,2.771434,-316.974030,-618.403564,162.217880,-0.049471,3.154998,0.080080,-2224.067139,-651.512451,147.472031,0.003158,0.006731,3.049527,-325.515625,873.975586,140.241196,0.008918,-0.050534,2.811507,-614.425964,-874.593750,137.635223
3,0,-0.032969,0.154736,2.762956,-320.611755,-616.821899,162.130783,-0.079598,3.140721,0.075209,-2226.572510,-656.006287,147.885010,0.003970,0.007018,3.049130,-329.692017,874.054504,140.343109,0.007283,-0.049988,2.809321,-618.202515,-873.266846,137.549240
4,0,-0.037253,0.152036,2.754194,-324.491486,-615.026611,162.074722,-0.046181,3.149132,0.102988,-2229.457275,-660.321960,147.981522,0.005494,0.003728,3.047832,-333.876007,874.076477,140.417297,0.004787,-0.053120,2.807470,-621.961853,-872.016479,137.483047
5,0,-0.044029,0.152463,2.745464,-328.482849,-613.282898,162.266129,-0.042658,3.149394,0.109486,-2231.824463,-664.535156,147.825821,0.001473,0.006801,3.047909,-338.122620,874.106079,140.440933,0.004755,-0.055821,2.807887,-625.763062,-870.600830,137.400330
6,0,-0.045001,0.150716,2.733329,-332.490631,-611.741333,162.274353,-0.041178,3.146505,0.116174,-2233.950928,-668.258423,147.992752,0.003682,0.010933,3.043662,-342.376587,874.264343,140.560272,0.007213,-0.056790,2.808428,-629.580994,-869.149780,137.415298
7,0,-0.042678,0.144421,2.720978,-336.419067,-610.487183,162.258331,-0.036764,3.149626,0.118449,-2235.867432,-671.617188,147.975174,0.003839,0.017422,3.044796,-346.484192,874.463013,140.291473,0.009264,-0.054796,2.810471,-633.383545,-867.667908,137.509277
8,0,-0.035500,0.141392,2.709681,-340.108887,-609.186462,162.004852,-0.036788,3.151173,0.111550,-2237.695801,-674.848083,147.522934,0.004103,0.017753,3.045886,-350.601929,874.601562,140.324219,0.007082,-0.050234,2.811616,-637.133240,-866.174744,137.522873
9,0,-0.025614,0.145916,2.702949,-343.646637,-607.429443,161.790833,-0.038671,3.151870,0.099738,-2239.462646,-677.569824,147.554855,0.006069,0.012561,3.045492,-354.672607,874.600525,140.461548,0.005692,-0.048406,2.811529,-640.883362,-864.779968,137.541519
10,0,-0.031145,0.145866,2.693898,-347.674652,-605.354431,161.962677,-0.040722,3.154127,0.084816,-2241.216309,-680.164856,147.214020,0.003229,0.018925,3.045253,-358.765778,874.752014,140.509476,0.007226,-0.049478,2.808895,-644.674683,-863.478271,137.495636
11,0,-0.038902,0.144870,2.686046,-351.693207,-603.354980,161.874008,-0.034241,3.159903,0.081268,-2242.911865,-683.620483,147.059097,0.003296,0.014698,3.044269,-362.810577,874.757141,140.507553,0.009488,-0.051237,2.806205,-648.308167,-862.050659,137.317596
12,0,-0.034732,0.146864,2.680281,-355.361328,-601.302002,161.796341,-0.028181,3.159968,0.092569,-2244.787109,-688.071167,147.101028,0.003316,0.016846,3.043369,-366.897888,874.848328,140.361145,0.010527,-0.054766,2.806486,-652.092041,-860.656433,137.288712
13,0,-0.032221,0.148017,2.675408,-358.751831,-599.327026,161.718704,-0.025313,3.156206,0.105239,-2246.898193,-692.321350,147.167603,0.003202,0.017184,3.042566,-370.915741,874.845703,140.230484,0.008222,-0.057960,2.811054,-656.050232,-859.162231,137.511078
14,0,-0.027865,0.147431,2.670532,-362.108063,-597.512634,161.647308,-0.032382,3.154339,0.101927,-2249.393799,-696.142761,147.397034,0.005844,0.010213,3.041522,-375.019775,874.824097,140.267105,0.010174,-0.052037,2.811292,-659.877014,-857.732239,137.456604
15,0,-0.024491,0.141226,2.662103,-365.649933,-595.886047,161.601791,-0.067214,3.144794,0.080618,-2251.618896,-699.578247,147.930832,0.000554,0.015920,3.042373,-379.273438,874.934387,140.317703,0.005904,-0.049848,2.812592,-663.783997,-856.083679,137.401917
16,0,-0.028347,0.137453,2.655280,-369.856720,-594.155090,161.623672,-0.042656,3.136310,0.118849,-2254.584717,-703.133728,147.483276,0.002154,0.010388,3.042179,-383.423004,874.889771,140.283768,-0.019551,-0.093042,2.818202,-667.520081,-854.150574,137.032806
17,0,-0.033760,0.142646,2.650975,-373.983032,-592.115173,161.837341,-0.062754,3.149117,0.093380,-2257.000977,-706.194214,147.164230,0.002131,0.011010,3.041891,-387.461151,874.948059,140.099274,-0.019245,-0.094625,2.816599,-671.267700,-852.785522,136.985489
18,0,-0.034372,0.148993,2.648021,-377.875336,-590.122986,161.777725,-0.065271,3.155349,0.090731,-2258.998291,-709.435730,147.064102,0.006078,0.012260,3.041394,-391.361176,874.997070,139.951569,-0.013810,-0.095642,2.815862,-675.050110,-851.457764,137.005859
19,0,-0.028850,0.151609,2.644198,-381.480835,-588.342468,161.767746,-0.067736,3.158672,0.086386,-2260.889648,-712.775269,146.695404,0.004601,0.008237,3.040911,-395.446167,875.018127,140.039703,-0.009879,-0.096807,2.816607,-678.865234,-850.047424,137.045288
20,0,-0.021383,0.147301,2.638694,-384.881866,-586.839294,161.462601,-0.068812,3.156698,0.083203,-2262.958740,-716.352173,146.794647,0.000569,0.011383,3.041327,-399.588654,875.123840,140.125641,-0.012256,-0.096350,2.817660,-682.697571,-848.586426,137.030701
21,0,-0.017167,0.139235,2.628649,-388.343781,-585.830872,161.470566,-0.073589,3.157512,0.090207,-2265.289795,-720.022278,146.767197,0.003253,0.010245,3.041914,-403.582886,875.227295,140.056747,-0.019416,-0.097606,2.817100,-686.524719,-847.175781,136.980499
22,0,-0.013544,0.133922,2.620493,-391.985657,-584.606689,161.350540,-0.064143,3.154870,0.092617,-2266.901367,-724.144958,146.764557,0.004089,0.012165,3.041693,-407.605957,875.406372,140.018936,-0.021013,-0.094713,2.816065,-690.319031,-845.685852,136.898163
23,0,-0.011685,0.138342,2.615473,-395.888641,-582.794434,161.216507,-0.057239,3.157914,0.093347,-2268.600586,-728.125854,146.926102,0.000915,0.012715,3.041150,-411.654938,875.494751,140.243851,-0.017706,-0.093283,2.815708,-694.146912,-844.232422,136.888275
24,0,-0.013680,0.143317,2.609668,-400.025970,-580.768005,161.193832,-0.058302,3.164061,0.091096,-2270.638672,-731.782104,146.862228,0.006500,0.005872,3.039674,-415.586731,875.423889,140.084732,-0.012425,-0.094382,2.816126,-698.068665,-842.833191,137.035629
25,0,-0.014712,0.141440,2.601168,-404.203674,-579.084290,161.316422,-0.057165,3.151198,0.108632,-2273.086426,-735.247620,147.096146,0.000293,0.011134,3.039954,-419.707977,875.592590,139.954712,-0.012259,-0.095438,2.816403,-701.968384,-841.431091,137.119797
26,0,-0.014952,0.136671,2.591785,-408.212067,-577.583862,161.266541,-0.081555,3.158186,0.081093,-2276.073486,-738.315308,146.458801,0.001693,0.011021,3.040359,-423.669128,875.673279,139.827209,-0.017294,-0.096024,2.817493,-705.900818,-839.964905,137.118164
27,0,-0.014227,0.134800,2.584314,-412.036102,-575.912292,161.060928,-0.090504,3.155118,0.087693,-2278.837891,-742.270630,146.404556,0.008376,0.007064,3.040661,-427.545105,875.707397,139.772873,-0.022755,-0.096914,2.818687,-709.884094,-838.414612,137.135773
28,0,-0.012038,0.136415,2.576569,-415.673401,-574.315125,161.108856,-0.096932,3.149373,0.093093,-2281.381104,-746.259705,146.759827,0.004330,0.013224,3.041522,-431.589081,875.946411,139.907196,-0.024778,-0.095198,2.819817,-713.764160,-836.894714,137.123245
29,0,-0.016222,0.130957,2.567943,-419.249847,-572.952026,161.205048,-0.101747,3.147290,0.096841,-2283.752197,-749.841492,146.875946,0.005186,0.007485,3.041292,-435.625275,875.963867,139.891830,-0.021695,-0.091017,2.819561,-717.548340,-835.498413,137.095627
30,0,-0.012804,0.133669,2.560488,-422.787231,-571.388855,161.126648,-0.136467,3.137402,0.080143,-2285.517090,-753.195801,147.008774,0.006720,0.006093,3.041310,-439.678009,875.949463,139.684219,-0.014460,-0.090966,2.818863,-721.390686,-834.161743,137.101364
31,0,-0.010080,0.131616,2.554724,-426.270569,-569.709778,161.049362,-0.118521,3.144481,0.095896,-2288.105469,-755.975098,147.107239,0.005297,0.008613,3.041834,-443.700623,876.102539,139.585297,-0.010160,-0.092672,2.817841,-725.253601,-832.802856,136.998642
32,0,-0.006410,0.131809,2.547652,-429.869171,-567.893188,161.037155,-0.111325,3.143032,0.101493,-2290.048340,-758.800659,147.138763,0.008626,0.006485,3.042002,-447.701050,876.180847,139.663589,-0.014205,-0.095196,2.817762,-729.172974,-831.351196,136.784973
33,0,-0.009275,0.130594,2.541663,-433.793213,-565.864624,160.919098,-0.159158,3.147402,0.045899,-2291.903564,-761.605957,146.534286,0.008511,0.008446,3.042593,-451.788452,876.293457,139.686752,-0.021393,-0.097166,2.817919,-732.971497,-829.804199,136.618942
34,0,-0.014116,0.130757,2.536036,-437.971558,-563.577148,161.056915,,,,,,,0.005654,0.007784,3.043264,-455.909607,876.470703,139.715363,-0.025021,-0.098022,2.819722,-736.867188,-828.337341,136.601715
35,0,-0.016345,0.132026,2.532172,-442.095245,-561.140503,161.046967,,,,,,,0.008738,0.008728,3.043285,-459.938477,876.622925,139.525497,-0.019095,-0.094437,2.821490,-740.826050,-826.782776,136.711563
36,0,-0.018384,0.134185,2.529246,-445.840302,-558.810730,161.096069,,,,,,,0.008779,0.008231,3.043232,-464.053772,876.737366,139.358139,-0.011530,-0.089240,2.821256,-744.793152,-825.318115,136.853928
37,0,-0.017324,0.135531,2.525622,-449.283356,-556.766113,161.020355,,,,,,,0.005150,0.006832,3.043525,-468.294403,876.829468,139.426193,-0.013401,-0.087845,2.820494,-748.683655,-823.904541,136.944901
38,0,-0.011137,0.134181,2.520233,-452.725098,-555.042786,160.732727,,,,,,,0.003681,0.009021,3.043997,-472.499451,876.906433,139.387665,-0.020278,-0.089773,2.819436,-752.631958,-822.524719,136.881256
39,0,-0.011978,0.128249,2.512317,-456.321014,-553.790955,160.826675,,,,,,,0.002869,0.008831,3.044304,-476.716125,877.017639,139.344955,-0.024967,-0.093713,2.819082,-756.571533,-821.109558,136.835861
40,0,-0.013973,0.125963,2.504275,-460.012085,-552.505981,160.816666,-0.173207,3.144638,0.084316,-2309.956543,-785.745117,146.935852,0.001672,0.009583,3.045012,-480.915100,877.126282,139.328644,-0.022248,-0.096071,2.818864,-760.471924,-819.665283,136.770370
41,0,-0.011417,0.128819,2.497514,-463.541748,-551.118103,160.721786,-0.217308,3.138559,0.035336,-2311.652100,-787.778564,147.346191,0.007160,0.010047,3.046007,-484.851166,877.157898,139.304169,-0.016938,-0.094826,2.819629,-764.310425,-818.138550,136.685898
42,0,-0.011120,0.127347,2.489748,-467.364105,-549.642456,160.726486,-0.221588,3.155853,0.021440,-2314.110840,-790.052551,146.824631,0.008030,0.008727,3.046239,-488.899445,877.247925,139.206299,-0.012274,-0.091496,2.821608,-768.163635,-816.663818,136.636902
43,0,-0.014291,0.120738,2.479824,-471.701111,-548.043640,160.762985,-0.218063,3.157482,0.031785,-2316.275391,-793.835938,146.759567,0.006831,0.012466,3.046653,-492.982544,877.353333,139.097656,-0.011036,-0.088082,2.821913,-772.066711,-815.175903,136.490814
44,0,-0.015833,0.116785,2.474547,-475.653809,-546.389526,160.836044,-0.185825,3.159705,0.067709,-2318.742920,-798.463623,146.158234,0.011788,0.006068,3.046084,-496.988007,877.253418,139.051407,-0.013788,-0.087138,2.821680,-776.066772,-813.652405,136.329971
45,0,-0.009506,0.123565,2.470928,-479.321533,-544.542542,160.721954,-0.187805,3.148881,0.089702,-2321.418701,-802.796021,146.994537,0.010905,0.004233,3.045677,-501.024078,877.420471,139.199402,-0.019494,-0.091051,2.820118,-780.005432,-812.218994,136.309387
46,0,-0.006917,0.123512,2.467493,-483.117645,-542.636963,160.599899,-0.232057,3.132910,0.090139,-2323.884033,-806.539307,148.166748,0.010377,0.008237,3.046724,-505.102509,877.594910,139.280029,-0.021787,-0.094406,2.819214,-783.911133,-810.880737,136.448990
47,0,-0.008460,0.126594,2.464226,-487.088501,-540.568604,160.688080,-0.218843,3.143233,0.115811,-2327.717773,-810.375244,147.837555,0.013561,0.006190,3.047700,-509.215485,877.666260,139.186401,-0.017194,-0.092699,2.818821,-787.761414,-809.532532,136.579453
