Objects
100
,,Global Angle SB-8427:SB-8427,,,,,,Global Angle SB-CE32:SB-CE32,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.054131,0.124723,3.161987,467.934052,371.787323,173.793640,1.577854,-0.158679,-1.368534,-1217.162476,-142.957397,51.494152,0.005251,-0.022149,1.473868,554.872253,-21.744598,155.524719,-0.009302,-0.073436,0.425365,-959.107727,139.494232,138.893509
2,0,-0.059020,0.129623,3.170789,467.200317,368.634277,173.755051,1.576761,-0.141843,-1.373182,-1217.496216,-142.720673,51.798038,0.005359,-0.022002,1.473866,554.874268,-21.749029,155.513199,-0.009772,-0.071527,0.427799,-955.318970,140.960266,138.702301
3,0,-0.059682,0.131025,3.176373,466.716339,365.266022,173.825027,1.576161,-0.145033,-1.371170,-1217.553467,-142.619095,51.778984,0.005311,-0.022083,1.473827,554.872742,-21.744579,155.516754,-0.009364,-0.070954,0.429634,-951.575745,142.458588,138.644455
4,0,-0.087926,0.162324,3.181640,466.608307,361.936005,174.205276,1.575716,-0.147072,-1.369241,-1217.606689,-142.551971,51.826099,0.005301,-0.022007,1.473850,554.871765,-21.739414,155.521576,-0.007239,-0.074154,0.431224,-947.915649,144.057098,138.922714
5,0,-0.089920,0.156275,3.183521,466.479736,358.400757,174.277817,1.575651,-0.147944,-1.368482,-1217.632324,-142.512207,51.845718,0.005433,-0.022103,1.473819,554.869690,-21.734566,155.531601,-0.005820,-0.075431,0.431820,-944.267090,145.626495,139.178970
6,0,-0.090103,0.157577,3.183481,466.400085,354.862549,174.342300,1.575321,-0.146792,-1.368684,-1217.611206,-142.547409,51.823784,0.005402,-0.021990,1.473771,554.872742,-21.739611,155.531006,-0.006829,-0.072905,0.432109,-940.641846,147.272095,139.301590
7,0,-0.085719,0.158082,3.181390,466.472717,351.260742,174.286621,1.575808,-0.145183,-1.370345,-1217.572754,-142.609360,51.794666,0.005287,-0.022058,1.473888,554.875366,-21.740051,155.523926,-0.010953,-0.068566,0.432563,-937.008423,148.837357,139.188629
8,0,-0.081983,0.161227,3.182450,466.235443,347.679382,174.406036,1.578969,-0.158399,-1.368763,-1217.316040,-142.729599,51.591469,0.005235,-0.022074,1.473855,554.874878,-21.743370,155.519836,-0.012405,-0.067184,0.434217,-933.295105,150.325592,138.919113
9,0,-0.082371,0.169475,3.187267,465.714050,344.261871,174.415207,1.576612,-0.141512,-1.373148,-1217.496338,-142.700699,51.795647,0.005395,-0.022071,1.473814,554.878052,-21.733797,155.533005,-0.010378,-0.072108,0.437324,-929.642273,151.840210,138.922806
10,0,-0.088104,0.170171,3.193542,465.132233,340.545380,174.232910,1.577010,-0.140873,-1.373926,-1217.455933,-142.730911,51.796875,0.005248,-0.022171,1.473870,554.875916,-21.735264,155.530670,-0.004927,-0.078582,0.439791,-925.969604,153.410980,138.971420
11,0,-0.088514,0.158551,3.198743,464.722992,336.290466,174.514511,1.577490,-0.140359,-1.374443,-1217.469971,-142.749908,51.818161,0.005236,-0.022176,1.473841,554.872131,-21.741791,155.521362,-0.003256,-0.082400,0.441334,-922.304810,155.105331,139.139603
12,0,-0.091738,0.147336,3.203567,464.292694,332.173218,174.524139,1.577304,-0.140180,-1.373813,-1217.478882,-142.744858,51.792480,0.005353,-0.022122,1.473832,554.873230,-21.739128,155.524307,-0.007642,-0.077783,0.440464,-918.571045,156.815811,139.252319
13,0,-0.099756,0.141497,3.210908,463.626892,328.695892,174.821243,1.576918,-0.141133,-1.373776,-1217.466919,-142.732803,51.795582,0.005220,-0.022056,1.473870,554.871765,-21.738531,155.515747,-0.012551,-0.067824,0.439639,-914.782593,158.372955,139.116531
14,0,-0.103551,0.147299,3.215956,462.955292,325.444061,174.816437,1.576838,-0.161533,-1.366167,-1217.232056,-142.885681,51.479023,0.005184,-0.022092,1.473874,554.870422,-21.743830,155.519928,-0.013874,-0.062854,0.440550,-911.014893,159.952774,139.020020
15,0,-0.102755,0.161083,3.219179,462.463837,322.194397,174.369476,1.576506,-0.143442,-1.371857,-1217.528076,-142.660522,51.800808,0.005231,-0.022121,1.473850,554.873962,-21.738091,155.524521,-0.009648,-0.068184,0.442196,-907.393738,161.689194,139.058197
16,0,-0.093702,0.171581,3.215981,462.727264,318.857361,174.397598,1.575835,-0.145100,-1.370995,-1217.561890,-142.624542,51.804161,0.005238,-0.022185,1.473834,554.875366,-21.739841,155.526474,-0.004488,-0.078247,0.444240,-903.776306,163.378998,139.158203
17,0,-0.086305,0.175597,3.212931,463.069824,315.173187,174.371353,1.576060,-0.145944,-1.370208,-1217.586060,-142.565292,51.802410,0.005280,-0.022181,1.473851,554.873108,-21.737379,155.526398,-0.004757,-0.083481,0.445745,-900.202576,165.006546,139.288452
18,0,-0.086206,0.171283,3.213835,462.876007,310.785675,174.455933,1.575523,-0.146089,-1.369721,-1217.594604,-142.571091,51.801060,0.005317,-0.022057,1.473875,554.874207,-21.737843,155.525726,-0.008463,-0.079135,0.446380,-896.546082,166.481995,139.300400
19,0,-0.090349,0.160705,3.218771,462.280823,306.158234,174.351486,1.575547,-0.145257,-1.370526,-1217.580078,-142.600906,51.795189,0.005251,-0.022099,1.473827,554.874207,-21.745722,155.515060,-0.011732,-0.071049,0.446251,-892.814575,168.043625,139.224548
20,0,-0.096400,0.146638,3.225888,461.368927,301.715424,174.759506,1.576183,-0.164880,-1.364344,-1217.274170,-142.804291,51.474251,0.005217,-0.022077,1.473908,554.872864,-21.745146,155.523804,-0.011763,-0.068712,0.446358,-889.164062,169.698944,139.343796
21,0,-0.101093,0.137523,3.233910,460.374451,297.491058,174.947327,1.576271,-0.143923,-1.371432,-1217.530029,-142.639481,51.794090,0.005296,-0.022091,1.473893,554.873657,-21.738585,155.530273,-0.006617,-0.070436,0.446351,-885.493042,171.269699,139.317215
22,0,-0.104997,0.137594,3.238299,459.581207,293.406097,174.898788,1.578809,-0.158295,-1.368835,-1217.313354,-142.735855,51.586117,0.005282,-0.021982,1.473851,554.871826,-21.739637,155.515793,-0.003072,-0.077895,0.447244,-881.931091,172.941956,139.450836
23,0,-0.102808,0.136829,3.239145,459.271698,289.679718,175.129227,1.575995,-0.143177,-1.372282,-1217.518311,-142.677536,51.790783,0.005239,-0.022141,1.473859,554.871887,-21.743547,155.517136,-0.003130,-0.082226,0.448908,-878.351318,174.616653,139.562393
24,0,-0.101137,0.134980,3.236789,459.237640,286.045166,175.037872,1.578857,-0.158604,-1.369255,-1217.302856,-142.732880,51.610004,0.005252,-0.021962,1.473847,554.873718,-21.743940,155.516632,-0.006070,-0.079340,0.449116,-874.708130,176.326920,139.394638
25,0,-0.093169,0.136503,3.230874,459.614960,282.486389,174.833511,1.576387,-0.163994,-1.364623,-1217.260620,-142.836029,51.480576,0.005236,-0.022122,1.473882,554.873413,-21.747360,155.513687,-0.012114,-0.077062,0.450314,-870.990295,178.183548,139.477112
26,0,-0.082791,0.146951,3.225445,459.999146,279.285767,175.010376,1.576409,-0.144408,-1.371197,-1217.543579,-142.614929,51.798275,0.005311,-0.022017,1.473826,554.872864,-21.749990,155.516922,-0.015499,-0.073678,0.450333,-867.242065,180.020996,139.554840
27,0,-0.074479,0.162265,3.222539,460.179901,276.232788,174.846954,1.575519,-0.144783,-1.370470,-1217.558472,-142.597427,51.788456,0.005286,-0.021929,1.473825,554.876587,-21.747015,155.520218,-0.013711,-0.072327,0.450197,-863.473816,181.760727,139.703125
28,0,-0.078879,0.176536,3.224669,459.668762,272.689087,174.694382,1.576236,-0.145601,-1.370771,-1217.565674,-142.585327,51.805241,0.005474,-0.022032,1.473818,554.880005,-21.748894,155.517715,-0.008816,-0.074702,0.450578,-859.741699,183.560120,139.875610
29,0,-0.098276,0.176431,3.234508,458.183472,268.219299,174.730621,1.575552,-0.145065,-1.370486,-1217.557129,-142.606491,51.793922,0.005347,-0.022166,1.473869,554.874146,-21.747875,155.515350,-0.006518,-0.077153,0.451284,-855.913208,185.359619,139.921799
30,0,-0.100805,0.156191,3.238486,457.135193,263.369293,174.741547,1.575837,-0.144387,-1.370969,-1217.555908,-142.604813,51.793972,0.005391,-0.021984,1.473866,554.879211,-21.753500,155.513153,-0.008286,-0.075491,0.451911,-852.072815,187.105545,139.785553
31,0,-0.098486,0.141172,3.238599,456.730682,258.165955,174.498398,1.578924,-0.158120,-1.367813,-1217.342896,-142.686813,51.589104,0.005242,-0.022120,1.473851,554.879456,-21.746132,155.516205,-0.011043,-0.073610,0.452061,-848.247192,188.820694,139.672165
32,0,-0.093469,0.124018,3.232193,456.882690,253.403687,175.193024,1.576588,-0.143963,-1.371291,-1217.548096,-142.620270,51.782688,0.005405,-0.022009,1.473829,554.874268,-21.748514,155.515137,-0.012386,-0.072733,0.452503,-844.417419,190.599823,139.697327
